id,species,island,sex,flipper_length_mm,weight_lb
85,Adelie,Dream,female,191,5.655853492564649
86,Adelie,Dream,male,194,7.169079287272787
87,Adelie,Dream,male,190,8.471623391482344
88,Adelie,Dream,female,189,7.454392463707482
89,Adelie,Dream,male,189,8.447311924035159
90,Adelie,Dream,female,190,6.9684490263813315
91,Adelie,Dream,female,202,6.625172984834538
92,Adelie,Dream,male,205,9.886779213233401
93,Adelie,Dream,female,185,7.386074479740062
94,Adelie,Dream,male,186,8.58297098538144
95,Adelie,Dream,female,187,7.345283661215502
96,Adelie,Dream,male,208,9.49077019895068
97,Adelie,Dream,female,190,7.7922021727177455
98,Adelie,Dream,male,196,10.310584499638654
99,Adelie,Dream,female,178,5.878362593711688
100,Adelie,Dream,male,192,8.35414815152544
101,Adelie,Biscoe,female,192,6.622321371302864
102,Adelie,Biscoe,male,203,10.577866004879457
103,Adelie,Biscoe,female,183,4.962722890386942
104,Adelie,Biscoe,male,190,9.108230125601224
105,Adelie,Biscoe,female,193,6.731837179606213
106,Adelie,Biscoe,male,184,8.105076913516704
107,Adelie,Biscoe,female,199,6.252005499390677
108,Adelie,Biscoe,male,190,7.823133624040226
109,Adelie,Biscoe,female,181,5.408788176915175
110,Adelie,Biscoe,male,197,10.838834361091655
111,Adelie,Biscoe,female,198,6.807124175233479
112,Adelie,Biscoe,male,191,9.47758350987589
113,Adelie,Biscoe,female,193,6.333685216647514
114,Adelie,Biscoe,male,197,8.08363861381234
115,Adelie,Biscoe,female,191,7.555197466397929
116,Adelie,Biscoe,male,196,7.776041878939852
117,Adelie,Torgersen,female,188,4.873694670103249
118,Adelie,Torgersen,male,199,8.58660918682108
119,Adelie,Torgersen,female,189,6.312080001538614
120,Adelie,Torgersen,male,189,6.489542174720051
121,Adelie,Torgersen,female,187,7.503299085264812
122,Adelie,Torgersen,male,198,5.413220208622598
123,Adelie,Torgersen,female,176,4.648964627661233
124,Adelie,Torgersen,male,202,5.733433358816383
125,Adelie,Torgersen,female,186,5.470916456201837
126,Adelie,Torgersen,male,199,8.742539037473676
127,Adelie,Torgersen,female,191,6.466918743134167
128,Adelie,Torgersen,male,195,8.953695421940305
129,Adelie,Torgersen,female,191,5.1413254787891844
130,Adelie,Torgersen,male,210,8.366259782718759
131,Adelie,Torgersen,female,190,6.714451357047987
132,Adelie,Torgersen,male,197,6.000136336780207
133,Adelie,Dream,female,193,7.815142419165763
134,Adelie,Dream,male,199,9.479388252844116
135,Adelie,Dream,female,187,5.316779031364655
136,Adelie,Dream,male,190,8.70769421730405
137,Adelie,Dream,female,191,6.161930534054574
138,Adelie,Dream,male,200,9.80603570941157
139,Adelie,Dream,female,185,6.998358662039048
140,Adelie,Dream,male,193,7.720527201581765
141,Adelie,Dream,female,193,8.76902674953866
142,Adelie,Dream,male,187,7.092756647346135
143,Adelie,Dream,female,188,5.7639736833912165
144,Adelie,Dream,male,190,8.52597689500877
145,Adelie,Dream,female,192,7.1817265624382065
146,Adelie,Dream,male,185,6.523812511887334
147,Adelie,Dream,male,190,9.301823144244404
148,Adelie,Dream,female,184,4.976552242778171
149,Adelie,Dream,female,195,6.570842297281215
150,Adelie,Dream,male,193,7.904130492480641
151,Adelie,Dream,female,187,7.68116932047675
152,Adelie,Dream,male,201,8.989327062749693
153,Gentoo,Biscoe,female,211,8.536640747149471
154,Gentoo,Biscoe,male,230,11.517002695848165
155,Gentoo,Biscoe,female,210,8.765837967287036
156,Gentoo,Biscoe,male,218,12.708181009386193
157,Gentoo,Biscoe,male,215,10.113233408645733
158,Gentoo,Biscoe,female,210,10.669280669292284
159,Gentoo,Biscoe,female,211,10.483441710437056
160,Gentoo,Biscoe,male,219,11.234661331164482
161,Gentoo,Biscoe,female,209,8.484676325217283
162,Gentoo,Biscoe,male,215,10.432351672458138
163,Gentoo,Biscoe,female,214,9.48083776813944
164,Gentoo,Biscoe,male,216,8.678620755882676
165,Gentoo,Biscoe,female,214,8.986820544551625
166,Gentoo,Biscoe,male,213,10.421312951261312
167,Gentoo,Biscoe,female,210,6.516005631832958
168,Gentoo,Biscoe,male,217,12.315816367948253
169,Gentoo,Biscoe,female,210,6.610569693818538
170,Gentoo,Biscoe,male,221,12.240707221113796
171,Gentoo,Biscoe,female,209,8.051031851874544
172,Gentoo,Biscoe,male,222,12.577995717262498
173,Gentoo,Biscoe,male,218,12.411123494913578
174,Gentoo,Biscoe,female,215,9.70082035139083
175,Gentoo,Biscoe,female,213,10.020699433798116
176,Gentoo,Biscoe,male,215,9.797812085889108
177,Gentoo,Biscoe,female,215,10.197388824074478
178,Gentoo,Biscoe,male,215,9.801397715654844
179,Gentoo,Biscoe,NA,216,10.19139581468528
180,Gentoo,Biscoe,male,215,11.894422353371244
181,Gentoo,Biscoe,female,210,8.587033989373577
182,Gentoo,Biscoe,male,220,11.087458714212701
183,Gentoo,Biscoe,male,222,11.666715956046726
184,Gentoo,Biscoe,female,209,9.718391027199733
185,Gentoo,Biscoe,female,207,10.593727364260735
186,Gentoo,Biscoe,male,230,13.319403976250085
187,Gentoo,Biscoe,female,220,8.92222405061397
188,Gentoo,Biscoe,male,220,10.209896330510926
189,Gentoo,Biscoe,female,213,9.273620793106907
190,Gentoo,Biscoe,male,219,11.240395819812573
191,Gentoo,Biscoe,female,208,7.099061697198305
192,Gentoo,Biscoe,male,208,10.285075719943691
193,Gentoo,Biscoe,female,208,9.043520977372001
194,Gentoo,Biscoe,male,225,11.621360609942553
195,Gentoo,Biscoe,female,210,8.264618367977922
196,Gentoo,Biscoe,male,216,9.776471949044724
197,Gentoo,Biscoe,male,222,11.493001588699
198,Gentoo,Biscoe,female,217,9.84733358862419
199,Gentoo,Biscoe,female,210,8.190780478861914
200,Gentoo,Biscoe,male,225,10.442816037336224
201,Gentoo,Biscoe,female,213,9.111088366459045
202,Gentoo,Biscoe,male,215,10.570558350272025
203,Gentoo,Biscoe,female,210,10.444232157092385
204,Gentoo,Biscoe,male,220,11.405927177263408
205,Gentoo,Biscoe,female,210,10.81100406850738
206,Gentoo,Biscoe,male,225,10.91229315578014
207,Gentoo,Biscoe,female,217,8.677837450111578
208,Gentoo,Biscoe,male,220,10.686598635744256
209,Gentoo,Biscoe,female,208,8.895036074950855
210,Gentoo,Biscoe,male,220,11.298952950470628
211,Gentoo,Biscoe,female,208,7.019287234317835
212,Gentoo,Biscoe,male,224,11.613202274737613
213,Gentoo,Biscoe,female,208,8.397583860387758
214,Gentoo,Biscoe,male,221,10.733627690764425
215,Gentoo,Biscoe,female,214,9.684845142676972
216,Gentoo,Biscoe,male,231,11.12371620842856
217,Gentoo,Biscoe,female,219,9.901177281151462
218,Gentoo,Biscoe,male,230,10.989164166483093
219,Gentoo,Biscoe,NA,214,9.921577043720669
220,Gentoo,Biscoe,male,229,13.05337121887078
221,Gentoo,Biscoe,female,220,10.905955246264087
222,Gentoo,Biscoe,male,223,11.010048723205442
223,Gentoo,Biscoe,female,216,7.766682301237997
224,Gentoo,Biscoe,male,221,10.033266036319645
225,Gentoo,Biscoe,male,221,10.315902587107471
226,Gentoo,Biscoe,female,217,10.457036517445697
227,Gentoo,Biscoe,female,216,8.780569856025458
228,Gentoo,Biscoe,male,230,10.575982194057627
229,Gentoo,Biscoe,female,209,8.628024561875003
230,Gentoo,Biscoe,male,220,13.100524419686609
231,Gentoo,Biscoe,female,215,10.919519038748204
232,Gentoo,Biscoe,male,223,11.138916933127769
233,Gentoo,Biscoe,female,212,10.166043209648368
234,Gentoo,Biscoe,male,221,10.336752305875867
235,Gentoo,Biscoe,female,212,9.344676461058972
236,Gentoo,Biscoe,male,224,10.417264289164224
237,Gentoo,Biscoe,female,212,8.740133663576334
238,Gentoo,Biscoe,male,228,11.97597006800465
239,Gentoo,Biscoe,female,218,8.62057982159379
240,Gentoo,Biscoe,male,218,10.19108978709799
241,Gentoo,Biscoe,female,212,10.062857384329384
242,Gentoo,Biscoe,male,230,10.960690115018023
243,Gentoo,Biscoe,female,218,10.265932055620437
244,Gentoo,Biscoe,male,228,10.185292296413666
245,Gentoo,Biscoe,female,212,9.498834423282295
246,Gentoo,Biscoe,male,224,12.06014644247576
247,Gentoo,Biscoe,female,214,8.859040566250648
248,Gentoo,Biscoe,male,226,10.001639501439508
249,Gentoo,Biscoe,male,216,9.752749719719578
250,Gentoo,Biscoe,female,222,9.866334243570124
251,Gentoo,Biscoe,female,203,9.563871508925281
252,Gentoo,Biscoe,male,225,9.965675619203083
253,Gentoo,Biscoe,female,219,9.859553015885536
254,Gentoo,Biscoe,male,228,11.735026554536768
255,Gentoo,Biscoe,female,215,7.607263389348977
256,Gentoo,Biscoe,male,228,11.560103066582526
257,Gentoo,Biscoe,NA,216,10.084756255802953
258,Gentoo,Biscoe,male,215,10.366660564861817
259,Gentoo,Biscoe,female,210,8.058483623214158
260,Gentoo,Biscoe,male,219,11.609880274851957
261,Gentoo,Biscoe,female,208,8.853262220991217
262,Gentoo,Biscoe,male,209,11.973800009942991
263,Gentoo,Biscoe,female,216,11.079026954408576
264,Gentoo,Biscoe,male,229,12.951897279714316
265,Gentoo,Biscoe,female,213,7.688960739594219
266,Gentoo,Biscoe,male,230,13.62185539184321
267,Gentoo,Biscoe,female,217,8.404723208025068
268,Gentoo,Biscoe,male,230,11.636569450698474
269,Gentoo,Biscoe,NA,217,9.034117044389973
270,Gentoo,Biscoe,male,222,12.408111940576893
271,Gentoo,Biscoe,female,214,9.905365830216303
272,Gentoo,Biscoe,NA,NA,NA
273,Gentoo,Biscoe,female,215,8.578853632673173
274,Gentoo,Biscoe,male,222,11.789020869204169
275,Gentoo,Biscoe,female,212,11.008674370491393
276,Gentoo,Biscoe,male,213,12.460492311717575
277,Chinstrap,Dream,female,192,8.899105522651338
278,Chinstrap,Dream,male,196,7.761511893805862
279,Chinstrap,Dream,male,193,5.090129799340727
280,Chinstrap,Dream,female,188,7.646661217554438
281,Chinstrap,Dream,male,197,7.112925276742202
282,Chinstrap,Dream,female,198,9.608845914510717
283,Chinstrap,Dream,female,178,6.664158686730573
284,Chinstrap,Dream,male,197,8.553448829682393
285,Chinstrap,Dream,female,195,9.047300380664332
286,Chinstrap,Dream,male,198,7.06425967693511
287,Chinstrap,Dream,female,193,7.9319060267080035
288,Chinstrap,Dream,male,194,8.453953991552764
289,Chinstrap,Dream,female,185,8.822484097569061
290,Chinstrap,Dream,male,201,7.791709638850797
291,Chinstrap,Dream,female,190,6.609595522423068
292,Chinstrap,Dream,male,201,7.2655282310211184
293,Chinstrap,Dream,male,197,7.6416072467123115
294,Chinstrap,Dream,female,181,7.949319558427611
295,Chinstrap,Dream,female,190,6.1091159131931345
296,Chinstrap,Dream,male,195,6.758152573407113
297,Chinstrap,Dream,female,181,7.550513056171261
298,Chinstrap,Dream,male,191,5.860629611453806
299,Chinstrap,Dream,female,187,8.188828292869442
300,Chinstrap,Dream,male,193,9.833106930050835
301,Chinstrap,Dream,female,195,7.77170555923349
302,Chinstrap,Dream,male,197,9.001112513147516
303,Chinstrap,Dream,female,200,8.035263874690937
304,Chinstrap,Dream,male,200,6.900264759429202
305,Chinstrap,Dream,female,191,6.422472580305871
306,Chinstrap,Dream,male,205,9.004637473461063
307,Chinstrap,Dream,female,187,5.537014948711869
308,Chinstrap,Dream,male,201,8.100515633372797
309,Chinstrap,Dream,female,187,7.740125273088403
310,Chinstrap,Dream,male,203,7.810014538732995
311,Chinstrap,Dream,male,195,3.456493258923509
312,Chinstrap,Dream,female,199,7.2551991760963555
313,Chinstrap,Dream,female,195,9.137686367712242
314,Chinstrap,Dream,male,210,10.341015549778845
315,Chinstrap,Dream,female,192,4.147225372110729
316,Chinstrap,Dream,male,205,9.372097054575363
317,Chinstrap,Dream,male,210,8.650276087724517
318,Chinstrap,Dream,female,187,8.914439015408245
319,Chinstrap,Dream,male,196,5.1371057999351155
320,Chinstrap,Dream,female,196,8.192912158258233
321,Chinstrap,Dream,female,196,7.796943256126245
322,Chinstrap,Dream,male,201,8.671374380784838
323,Chinstrap,Dream,female,190,6.919411206510256
324,Chinstrap,Dream,male,212,7.173287373936766
325,Chinstrap,Dream,male,187,7.510862108699021
326,Chinstrap,Dream,female,198,6.105204747211864
327,Chinstrap,Dream,female,199,8.232322698159956
328,Chinstrap,Dream,male,201,7.356040049518793
329,Chinstrap,Dream,female,193,8.688892182224095
330,Chinstrap,Dream,male,203,9.051141744689446
331,Chinstrap,Dream,female,187,5.53553771521464
332,Chinstrap,Dream,male,197,7.534975164890576
333,Chinstrap,Dream,female,191,4.716731781191859
334,Chinstrap,Dream,male,203,8.999009408352483
335,Chinstrap,Dream,male,202,7.538134169547072
336,Chinstrap,Dream,female,194,6.0524306403142845
337,Chinstrap,Dream,male,206,8.221087373164833
338,Chinstrap,Dream,female,189,7.485939007794229
339,Chinstrap,Dream,female,195,8.340298747025379
340,Chinstrap,Dream,male,207,8.13865440762834
341,Chinstrap,Dream,female,202,7.297224273993151
342,Chinstrap,Dream,male,193,8.245779772287078
343,Chinstrap,Dream,male,210,8.777370860385457
344,Chinstrap,Dream,female,198,7.722651441328156
